# English link-stemming table for BibleSearch (word<TAB>link heads).
# Built with tools/eng_links/build_links.py from:
#  - AGID (Automatically Generated Inflection Database), Rev. 4.
#    Copyright 2000-2003 by Kevin Atkinson. Permission to use, copy, modify,
#    distribute and sell this database, the associated scripts, the output
#    created from the scripts and its documentation for any purpose is hereby
#    granted without fee, provided that the above copyright notice appears in
#    all copies. http://wordlist.aspell.net/
#  - Open English WordNet 2025, by the Open English WordNet Community,
#    CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/), derived from
#    Princeton WordNet 3.0, Copyright 2006 by Princeton University.
#    https://en-word.net/
bedad	bedad
bedan	bedan
bedchamber	bedchamber
bedeiah	bedeiah
bedroom	bedroom
beds	bed
bee	bee
beeliada	beeliada
beelzebul	beelzebul
been	be
beer	beer
beera	beera
beerah	beerah
beeri	beeri
beeroth	beeroth
beerothite	beeroth
beerothites	beeroth
beersheba	beersheba
bees	bee
beeshterah	beeshterah
befall	fall
befallen	fall
befalls	fall
before	before
beforehand	beforehand
beg	beg
begain	begain
began	begin
begat	beget
beget	beget
begets	beget
begetting	beget
beggar	beggar
begged	beg
begging	beg,begging
begin	begin
beginning	begin
beginnings	begin
begot	beget
begotten	beget
begs	beg
beguile	beguile
begun	begin
behalf	behalf
behaved	behave
behavior	behavior
beheaded	behead
beheld	behold
behemoth	behemoth
behind	behind
behold	behold
beholding	behold
beholds	behold
being	be,being
beka	beka
bekah	bekah
bel	bel
bela	bela
belaite	bela
belch	belch
belial	belial
beliar	beliar
belief	belief
believe	belief
believed	belief
believer	belief
believers	belief
believes	belief
believing	belief
belitted	belitted
belittle	belittle
belittled	belittle
belittling	belittle
bell	bell
bellies	belly
bellow	bellow
bellows	bellow
bells	bell
belly	belly
belong	belong
belonged	belong
belonging	belong,belonging
belongs	belong
beloved	love
below	below
belshazzar	belshazzar
belt	belt
belteshazzar	belteshazzar
belts	belt
bemoan	bemoan
bemoaner	bemoan
bemoaning	bemoan
ben	ben
benaiah	benaiah
bend	bend
bending	bend,bending
bends	bend
bene	bene
beneath	beneath
benefactors	benefactor
benefit	benefit
benefited	benefit
benefits	benefit
benefitting	benefit
beninu	beninu
benjamin	benjamin
benjamite	benjamite
benjamites	benjamites
beno	beno
benob	benob
benoth	benoth
bent	bend,bent
beon	beon
beor	beor
bera	bera
beracah	beracah
berachah	berachah
